target_id,length_bin,psi,factor_rotation,gplus_rotation
3iu0_A,320-384,0.018414284879303307,0.010745806300777384,-0.007668478578525922
6o1x_A,320-384,0.012821459333087253,0.0017472622123785061,-0.011074197120708748
7nmq_A,320-384,0.030627295684113858,0.02521235078053262,-0.005414944903581236
2ola_A,320-384,-0.024341351660939328,-0.0076323522087753636,0.01670899945216396
5wcx_A,320-384,-0.03046054629018919,-0.02440403278997458,0.006056513500214609
6zxv_A,320-384,0.031299697837150114,0.0016698473282442672,-0.02962985050890585
4p7o_A,320-384,0.026495590454631235,0.008002617430673467,-0.018492973023957766
1yt3_A,320-384,-0.010830869672333092,0.0030980537078098124,0.013928923380142906
6lv0_A,320-384,-0.01007206994328923,1.3127494223922712e-05,0.010085197437513151
6k11_A,320-384,0.051518196025898605,0.03846034581131699,-0.013057850214581612
1si7_A,320-384,0.04636781697537989,0.05027156508595295,0.00390374811057306
2nun_A,320-384,0.057365859449192785,0.05908342236467237,0.0017175629154795868
6y9u_A,320-384,0.04033040903740914,0.014296894907356849,-0.026033514130052296
3p6a_A,320-384,0.007763389489564997,0.001176906098957881,-0.006586483390607116
1tlo_A,320-384,0.034053534053534014,0.050521300521300515,0.0164677664677665
3pt5_A,320-384,0.02722210142301466,0.027077142373946032,-0.00014495904906862577
6p80_A,320-384,0.06528562460765855,0.06086698751482181,-0.004418637092836741
5lm9_A,320-384,-0.0013399223090917827,0.0024790611529068706,0.0038189834619986535
4ifz_A,320-384,0.015605672239437799,-0.013440963056480138,-0.029046635295917937
5ljw_A,320-384,-0.040955116096783706,0.008326587255695647,0.049281703352479354
3v0i_A,320-384,-0.008325974981604109,0.020136129506990435,0.028462104488594542
4g55_A,320-384,0.025199766695829684,0.023747448235637212,-0.0014523184601924724
3r5e_A,320-384,-0.0023624862486248707,0.018363586358635862,0.020726072607260733
5vkj_A,320-384,0.019296164491894047,-1.581652827204522e-05,-0.019311981020166093
2i3g_A,320-384,0.029700548387830785,0.0337224383916991,0.00402189000386831
5lte_A,320-384,-0.017477282114828557,-0.014450382073523331,0.003026900041305224
2q0g_A,320-384,0.12153291673518611,0.04663775146631588,-0.07489516526887025
